Team,GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM
Dplus KIA,3,2,1,42.4,50,56,0.89,0.83,0.91,0.058,60.2,6.5,1425,0.33,0.67,0.67,,0.67,,0.33,0.67,0.33,1,0.86,0.497,0.565,4.39,1.51,2.46
KT Rolster,3,1,2,42.4,56,50,1.12,0.83,-0.91,-0.058,39.8,-6.5,-1425,0.67,0.33,0.33,,0.33,,0.67,0.33,0.67,0,0.14,0.503,0.435,4.62,1.59,2.37
Liiv SANDBOX,2,0,2,37.1,20,36,0.56,0.76,0.24,-0.009,43.3,-43.3,113,0,0.5,1,,0.75,,0,0.2,,0.5,0.33,0.503,0.442,3.57,1.75,2.22
DN Freecs,2,0,2,27.4,14,33,0.42,0.86,-2.39,-0.135,47,-47,-948,0.5,0,0.5,,0.5,,0.5,0.29,,0,0,0.475,0.436,3.14,1.46,1.77
Gen.G,2,2,0,27.4,33,15,2.2,0.86,2.39,0.135,53,47,948,0.5,1,0.5,,0.5,,0.5,0.71,,1,1,0.525,0.564,4.11,1.53,1.64
Hanwha Life Esports,3,2,1,33.1,49,57,0.86,1.07,0,0.019,57.1,9.5,383,0.67,0.67,0.33,,0.33,,1,0.64,,0.33,0.6,0.532,0.506,3.76,1.56,1.73
Nongshim RedForce,3,1,2,33.1,57,49,1.16,1.07,0,-0.019,42.9,-9.5,-383,0.33,0.33,0.67,,0.67,,0,0.36,,0.67,0.4,0.468,0.494,3.7,1.25,1.55
BRION,2,0,2,38.3,21,22,0.95,0.56,-0.21,-0.032,59.2,-59.2,299,0.5,0,0.5,,0.5,,0.5,0.89,0,0.5,0.25,0.493,0.489,4.23,1.72,2.45
DRX,3,2,1,31.9,38,27,1.41,0.68,0.97,0.126,46.1,20.6,257,0.33,0.33,0.67,,0.5,,0,0.31,,1,1,0.501,0.566,3.67,1.47,1.86
KT Rolster,2,2,0,38.3,22,21,1.05,0.56,0.21,0.032,40.8,59.2,-299,0.5,1,0.5,,0.5,,0.5,0.11,1,0.5,0.75,0.507,0.511,4.4,1.49,1.95
T1,3,1,2,31.9,27,38,0.71,0.68,-0.97,-0.126,53.9,-20.6,-257,0.67,0.67,0.33,,0.5,,1,0.69,,0,0,0.499,0.434,3.62,1.66,1.5
Dplus KIA,3,2,1,34.7,51,44,1.16,0.91,-1.09,-0.014,30.3,36.3,-1367,0,0,0,,0.33,,0.33,0.54,1,0.67,0.67,0.488,0.519,3.74,1.49,1.86
