Team,GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM
Dplus KIA,2,2,0,39,38,18,2.11,0.71,0.96,0.068,62.9,37.1,1325,1,1,0.5,,0.25,,0.5,0.8,1,1,1,0.493,0.562,3.92,1.71,2.14
T1,2,2,0,34.5,26,11,2.36,0.54,1.18,0.077,47.4,52.6,566,0,0.5,0.5,,0.5,,0,0.44,,1,1,0.496,0.53,3.75,1.47,2.36
Gen.G,3,2,1,34.4,43,22,1.95,0.63,1.33,0.047,79,-12.3,2624,0.67,1,1,,0.33,,0.67,0.53,,0.67,0.67,0.515,0.492,4.08,1.66,1.96
Hanwha Life Esports,2,0,2,34.1,24,32,0.75,0.82,-1.11,-0.041,21.6,-21.6,-1883,0,0,0,,0,,0.5,0.44,,0,0.33,0.499,0.445,3.64,1.55,1.42
Liiv SANDBOX,2,2,0,34.1,32,24,1.33,0.82,1.11,0.041,78.4,21.6,1883,1,1,1,,1,,0.5,0.56,,1,0.67,0.501,0.555,3.4,1.55,1.77
Nongshim RedForce,3,1,2,34.4,22,43,0.51,0.63,-1.33,-0.047,21,12.3,-2624,0.33,0,0,,0.67,,0.33,0.47,,0.33,0.33,0.485,0.508,3.81,1.34,2.01
DN Freecs,3,2,1,31.4,52,35,1.49,0.92,0.96,0.085,72,-5.3,1498,0.67,0.67,1,,0.83,,1,0.92,0,0.67,0.67,0.498,0.512,3.32,1.39,1.52
Dplus KIA,2,2,0,31.9,29,14,2.07,0.67,0.46,0.039,49,51,-174,0.5,0,0.5,,0.25,,0.5,0.75,,1,1,0.496,0.516,3.97,1.57,1.77
DRX,2,0,2,31.9,14,29,0.48,0.67,-0.46,-0.039,51,-51,174,0.5,1,0.5,,0.75,,0.5,0.25,,0,0,0.504,0.484,3.5,1.24,1.55
KT Rolster,3,1,2,31.4,35,52,0.67,0.92,-0.96,-0.085,28,5.3,-1498,0.33,0.33,0,,0.17,,0,0.08,1,0.33,0.33,0.502,0.488,3.13,1.49,1.28
BRION,3,1,2,30.2,19,30,0.63,0.54,-0.49,-0.059,32.1,1.2,-1122,0.33,0.33,0.33,,0.17,,0.33,0.58,0.5,0.33,0.5,0.493,0.497,3.98,1.65,1.99
Hanwha Life Esports,3,2,1,30.2,30,19,1.58,0.54,0.49,0.059,67.9,-1.2,1122,0.67,0.67,0.67,,0.83,,0.67,0.42,0.5,0.33,0.5,0.507,0.503,3.84,1.76,1.89
Liiv SANDBOX,2,2,0,31.6,26,12,2.17,0.6,-0.44,-0.006,38.3,61.7,-476,0.5,1,0.5,,1,,0,0.75,,0.5,0.5,0.514,0.46,3.5,1.65,1.79
T1,2,0,2,31.6,12,26,0.46,0.6,0.44,0.006,61.7,-61.7,476,0.5,0,0.5,,0,,1,0.25,,0.5,0.5,0.486,0.54,3.34,1.49,1.45
BRION,2,2,0,34.6,36,12,3,0.69,1.54,0.144,62.6,37.4,630,1,0.5,0.5,,0.5,,0.5,0.89,,1,1,0.503,0.592,4.71,1.5,2.18
Hanwha Life Esports,2,0,2,26.3,11,40,0.28,0.97,-2.87,-0.213,14.4,-14.4,-2633,0,0,0,,0.5,,0,0,,0,0,0.512,0.416,3.2,1.52,1.15
Liiv SANDBOX,2,0,2,34.6,12,36,0.33,0.69,-1.54,-0.144,37.4,-37.4,-630,0,0.5,0.5,,0.5,,0.5,0.11,,0,0,0.497,0.408,3.56,1.69,2.21
T1,2,2,0,26.3,40,11,3.64,0.97,2.87,0.213,85.6,14.4,2633,1,1,1,,0.5,,1,1,,1,1,0.488,0.584,3.2,1.49,1.66
Dplus KIA,2,2,0,33.5,27,17,1.59,0.66,1.7,0.131,76,24,2542,0.5,1,0.5,7.5,0.5,,0.5,0.63,1,0.5,0.67,0.501,0.534,3.77,1.76,1.49
Hanwha Life Esports,3,2,1,34.9,48,31,1.55,0.76,0.83,0.05,58.2,8.5,1012,0.67,0.67,0.67,3.7,0.5,,0.33,0.46,,0.67,0.75,0.505,0.499,3.17,1.61,2.07
KT Rolster,2,0,2,33.5,17,27,0.63,0.66,-1.7,-0.131,24,-24,-2542,0.5,0,0.5,1,0.5,,0.5,0.38,0,0.5,0.33,0.499,0.466,3.41,1.46,1.61
Nongshim RedForce,3,1,2,34.9,31,48,0.65,0.76,-0.83,-0.05,41.8,-8.5,-1012,0.33,0.33,0.33,4.7,0.5,,0.67,0.54,,0.33,0.25,0.495,0.501,3.81,1.6,1.34
BRION,2,0,2,33,10,28,0.36,0.58,-2.33,-0.167,24.2,-24.2,-2610,0,0.5,0.5,2,0.25,,0.5,0.33,,0,0,0.499,0.445,3.8,1.69,1.84
DN Freecs,2,0,2,30,6,23,0.26,0.48,-1.68,-0.08,21.1,-21.1,-2073,0,0.5,0.5,3,1,,0,0.22,,0,0,0.49,0.453,3.87,1.83,1.74
DRX,2,2,0,33,28,10,2.8,0.58,2.33,0.167,75.8,24.2,2610,1,0.5,0.5,5,0.75,,0.5,0.67,,1,1,0.501,0.555,3.69,1.48,1.81
Gen.G,2,2,0,30,23,6,3.83,0.48,1.68,0.08,78.9,21.1,2073,1,0.5,0.5,5.5,0,,1,0.78,,1,1,0.51,0.547,3.56,1.17,2
KT Rolster,3,1,2,33.3,34,34,1,0.68,1.82,0.09,72.5,-39.1,2692,1,1,0.67,6.7,1,,0.67,0.6,,0.67,0.4,0.504,0.571,3.69,1.56,1.68
Liiv SANDBOX,3,2,1,33.3,34,34,1,0.68,-1.82,-0.09,27.5,39.1,-2692,0,0,0.33,1.7,0,,0.33,0.4,,0.33,0.6,0.496,0.429,2.95,1.21,1.64
Nongshim RedForce,3,1,2,39.1,34,29,1.17,0.54,-0.69,-0.03,49.6,-16.3,-618,0.67,0.33,0,2.7,0.33,,1,0.53,0,0.33,0.17,0.489,0.493,3.86,1.76,1.62
T1,3,2,1,39.1,29,34,0.85,0.54,0.69,0.03,50.4,16.3,618,0.33,0.67,1,5.7,0.67,,0,0.47,1,0.67,0.83,0.511,0.507,3.59,1.51,1.9
BRION,2,2,0,42.2,23,11,2.09,0.4,-0.36,-0.015,43,57,852,1,0,0,2,0,,0,0.45,0.5,0,0,0.494,0.504,3.97,1.81,2.65
DN Freecs,2,0,2,42.2,11,23,0.48,0.4,0.36,0.015,57,-57,-852,0,1,1,3.5,1,,1,0.55,0.5,1,1,0.506,0.496,5,1.79,1.98
Dplus KIA,2,2,0,28.4,23,11,2.09,0.6,3.02,0.176,92.4,7.6,3231,1,1,1,6,0.5,,1,1,1,1,1,0.52,0.582,3.64,1.25,1.88
Hanwha Life Esports,2,0,2,28.4,11,23,0.48,0.6,-3.02,-0.176,7.6,-7.6,-3231,0,0,0,1.5,0.5,,0,0,0,0,0,0.48,0.418,3.54,1.55,1.58
DRX,2,2,0,42.3,37,28,1.32,0.77,0.32,0.066,47.8,52.2,-239,0.5,0.5,0.5,5,0.5,,0.5,0.67,,0.5,0.8,0.509,0.569,3.96,1.52,1.73
Gen.G,2,0,2,40.2,13,31,0.42,0.55,-1.32,-0.048,8.6,-8.6,-1300,0,0,0.5,2.5,0.25,,0,0.2,0,0,0,0.514,0.547,3.42,1.41,2.16
KT Rolster,2,2,0,40.2,31,13,2.38,0.55,1.32,0.048,91.4,8.6,1300,1,1,0.5,6.5,0.75,,1,0.8,1,1,1,0.486,0.453,4.24,1.76,1.84
Nongshim RedForce,2,0,2,42.3,28,37,0.76,0.77,-0.32,-0.066,52.2,-52.2,239,0.5,0.5,0.5,8,0.5,,0.5,0.33,,0.5,0.2,0.491,0.431,3.26,1.6,1.88
Dplus KIA,3,1,2,39.8,34,48,0.71,0.69,-0.39,-0.023,34.2,-0.9,-283,0.67,0.33,0.33,5.7,0.33,,0.33,0.38,1,0.67,0.5,0.493,0.511,3.43,1.35,1.67
Hanwha Life Esports,2,2,0,30.4,32,16,2,0.79,1.58,0.118,76.9,23.1,846,0.5,0.5,1,3,0.5,,1,0.88,,1,1,0.495,0.573,3.53,1.66,1.62
Liiv SANDBOX,2,0,2,30.4,16,32,0.5,0.79,-1.58,-0.118,23.1,-23.1,-846,0.5,0.5,0,3.5,0.5,,0,0.13,,0,0,0.505,0.427,3.21,1.35,1.02
T1,3,2,1,39.8,48,34,1.41,0.69,0.39,0.023,65.8,0.9,283,0.33,0.67,0.67,8,0.67,,0.67,0.63,0,0.33,0.5,0.507,0.489,3.76,1.45,1.65
DRX,3,2,1,36.3,36,29,1.24,0.6,0.86,0.04,54.8,11.9,538,0.67,0.67,1,4,0.67,,0.67,0.43,0,0.67,0.75,0.503,0.506,3.5,1.32,1.73
Hanwha Life Esports,3,1,2,34.9,35,33,1.06,0.65,-0.38,0.014,38.6,-5.3,-1307,0.67,0,0.67,5.3,0.33,,0.33,0.57,,0.67,0.4,0.499,0.458,3.01,1.33,1.92
KT Rolster,3,1,2,36.3,29,36,0.81,0.6,-0.86,-0.04,45.2,-11.9,-538,0.33,0.33,0,1,0.33,,0.33,0.57,1,0,0.25,0.497,0.494,3.54,1.4,1.8
T1,3,2,1,34.9,33,35,0.94,0.65,0.38,-0.014,61.4,5.3,1307,0.33,1,0.33,8,0.67,,0.67,0.43,,0.33,0.6,0.501,0.542,3.45,1.28,1.37
DN Freecs,2,0,2,35.2,15,26,0.58,0.58,-1.56,-0.058,33.8,-33.8,-2450,0,0.5,0.5,0,0.5,,1,0.5,,0,0,0.51,0.415,3.54,1.74,1.98
Dplus KIA,2,2,0,35.2,26,15,1.73,0.58,1.56,0.058,66.2,33.8,2450,1,0.5,0.5,6.5,0.5,,0,0.5,,1,1,0.49,0.585,3.9,1.34,1.37
Gen.G,3,2,1,30.9,42,34,1.24,0.82,0.31,0.057,36.5,30.1,-722,0.33,0.33,0.33,3,0.4,,0.67,0.58,0,0.67,0.75,0.503,0.549,3.88,1.66,1.58
Liiv SANDBOX,3,1,2,30.9,34,42,0.81,0.82,-0.31,-0.057,63.5,-30.1,722,0.67,0.67,0.67,4,0.6,,0.33,0.42,1,0.33,0.25,0.497,0.451,3.06,1.15,1.76
BRION,3,2,1,38.4,54,28,1.93,0.71,0.9,0.083,56.2,10.5,188,0.33,0.67,1,4.7,0.83,,0.67,0.59,,0.33,0.57,0.504,0.489,3.91,1.75,2.14
DRX,3,2,1,39.5,40,28,1.43,0.57,0.37,0.035,46.7,20,-767,0,0.33,0.33,1.3,0.2,,0.67,0.56,,1,0.8,0.507,0.574,3.43,1.6,1.85
Hanwha Life Esports,3,1,2,39.5,28,40,0.7,0.57,-0.37,-0.035,53.3,-20,767,1,0.67,0.67,4,0.8,,0.33,0.44,,0,0.2,0.493,0.426,3.33,1.57,1.72
Nongshim RedForce,3,1,2,38.4,28,54,0.52,0.71,-0.9,-0.083,43.8,-10.5,-188,0.67,0.33,0,5,0.17,,0.33,0.41,,0.67,0.43,0.496,0.511,3.68,1.52,1.64
Dplus KIA,2,2,0,33.9,31,13,2.38,0.65,1.61,0.061,48.4,51.6,1077,0.5,1,1,6.5,0.75,,0,0.55,,1,1,0.475,0.579,3.31,1.29,1.32
Gen.G,2,0,2,38.2,23,34,0.68,0.75,-1.27,-0.075,33.6,-33.6,-1768,0.5,0.5,0,2,0,,0.5,0.56,0,0.5,0.25,0.504,0.451,3.43,1.68,1.68
Liiv SANDBOX,2,0,2,33.9,13,31,0.42,0.65,-1.61,-0.061,51.6,-51.6,-1077,0.5,0,0,4,0.25,,1,0.45,,0,0,0.525,0.421,3.13,1.21,1.81
T1,2,2,0,38.2,34,23,1.48,0.75,1.27,0.075,66.4,33.6,1768,0.5,0.5,1,8,1,,0.5,0.44,1,0.5,0.75,0.496,0.549,3.24,1.32,1.41
BRION,3,1,2,40.7,44,42,1.05,0.7,0.74,0.043,64.4,-31.1,892,0.67,0.67,0.67,6,0.6,,1,0.5,0,1,0.83,0.499,0.477,3.9,1.93,2.17
DN Freecs,2,2,0,28.6,30,6,5,0.63,3.48,0.128,80.9,19.1,4042,1,1,1,8,0.75,,0,0.71,,1,1,0.511,0.542,3.77,1.85,1.97
KT Rolster,3,2,1,40.7,42,44,0.95,0.7,-0.74,-0.043,35.6,31.1,-892,0.33,0.33,0.33,3,0.4,,0,0.5,1,0,0.17,0.501,0.523,4.05,1.59,1.93
Nongshim RedForce,2,0,2,28.6,6,30,0.2,0.63,-3.48,-0.128,19.1,-19.1,-4042,0,0,0,1,0.25,,1,0.29,,0,0,0.489,0.458,3.23,1.4,1.36
BRION,3,1,2,43.4,34,50,0.68,0.65,-1.22,-0.029,37,-3.7,-1271,0,0,0,2.7,0.33,,1,0.47,0,0.67,0.43,0.502,0.493,3.66,1.76,2.07
DRX,2,0,2,27.8,11,40,0.28,0.92,-3.26,-0.253,16.4,-16.4,-3445,0.5,0.5,0.5,3,0.25,,0,0.17,,0,0,0.477,0.381,2.96,1.45,1.43
Gen.G,2,2,0,27.8,40,11,3.64,0.92,3.26,0.253,83.6,16.4,3445,0.5,0.5,0.5,7,0.75,,1,0.83,,1,1,0.523,0.619,3.67,1.34,1.59
T1,3,2,1,43.4,50,34,1.47,0.65,1.22,0.029,63,3.7,1271,1,1,1,7.3,0.67,,0,0.53,1,0.33,0.57,0.498,0.507,3.81,1.45,1.86
BRION,3,1,2,31.8,32,36,0.89,0.71,0.29,0.014,46.9,-13.6,639,0.67,0.33,0.67,3,0.33,,0.33,0.15,1,0.33,0.5,0.486,0.498,3.89,1.64,1.78
Gen.G,2,2,0,28.7,26,11,2.36,0.64,1.27,0.127,66.8,33.2,-166,0.5,0.5,1,6.5,0,,1,1,,1,1,0.514,0.558,3.19,1.22,1.66
Liiv SANDBOX,3,2,1,31.8,36,32,1.13,0.71,-0.29,-0.014,53.1,13.6,-639,0.33,0.67,0.33,3.7,0.67,,0.67,0.85,0,0.67,0.5,0.514,0.502,3.52,1.29,1.55
Nongshim RedForce,2,0,2,28.7,11,26,0.42,0.64,-1.27,-0.127,33.2,-33.2,166,0.5,0.5,0,7,1,,0,0,,0,0,0.486,0.442,2.94,1.5,1.25
DN Freecs,2,2,0,39.2,37,17,2.18,0.69,0.43,0.033,73.4,26.6,648,1,0.5,0.5,5,0.33,,1,0.89,1,0.5,0.25,0.511,0.486,4.1,1.85,1.88
Dplus KIA,3,1,2,39,22,22,1,0.38,0.24,-0.006,49.5,-16.2,539,0,0.67,0.33,6,0.5,,0.33,0.65,,0.33,0.4,0.479,0.522,3.91,1.53,1.78
DRX,3,2,1,39,22,22,1,0.38,-0.24,0.006,50.5,16.2,-539,1,0.33,0.67,3,0.5,,0.67,0.35,,0.67,0.6,0.521,0.478,3.59,1.45,2.05
Hanwha Life Esports,2,0,2,39.2,17,37,0.46,0.69,-0.43,-0.033,26.6,-26.6,-648,0,0.5,0.5,4.5,0.67,,0,0.11,0,0.5,0.75,0.489,0.514,3.38,1.45,2.22
Gen.G,2,2,0,29.2,46,16,2.88,1.06,2.55,0.14,67.3,32.7,2969,0.5,1,1,6,1,,0.5,0.5,,0.5,0.5,0.502,0.576,3.21,1.17,1.69
KT Rolster,2,0,2,27.3,33,42,0.79,1.37,-2.43,-0.099,24.5,-24.5,-3055,0.5,0,0,7,0,,0.5,0.57,,0,0,0.527,0.422,3.32,1.34,1.25
Liiv SANDBOX,2,0,2,29.2,16,46,0.35,1.06,-2.55,-0.14,32.7,-32.7,-2969,0.5,0,0,2,0,,0.5,0.5,,0.5,0.5,0.498,0.424,3.25,1.27,0.9
T1,2,2,0,27.3,42,33,1.27,1.37,2.43,0.099,75.5,24.5,3055,0.5,1,1,11.5,1,,0.5,0.43,,1,1,0.473,0.578,3.48,1.3,1.29
BRION,3,1,2,39.9,30,40,0.75,0.59,-0.25,-0.024,52.1,-18.8,493,0.67,0.33,0.33,2,0.67,,0.67,0.5,0,0,0.5,0.505,0.499,3.54,1.66,2
DN Freecs,3,2,1,39.9,40,30,1.33,0.59,0.25,0.024,47.9,18.8,-493,0.33,0.67,0.67,3.7,0.33,,0.33,0.5,1,1,0.5,0.495,0.501,3.7,1.52,1.69
DRX,2,0,2,37.4,10,32,0.31,0.56,-1.92,-0.086,15,-15,-2029,0.5,0,0,0.5,0.25,,0,0.3,,0,0,0.513,0.464,3.87,1.55,1.82
Hanwha Life Esports,2,2,0,37.4,32,10,3.2,0.56,1.92,0.086,85,15,2029,0.5,1,1,4,0.75,,1,0.7,,1,1,0.487,0.536,3.34,1.43,2.13
Dplus KIA,3,2,1,34.8,25,24,1.04,0.47,-0.55,-0.067,39.9,26.8,-376,0.33,0.67,0.33,4.7,0.67,,0,0.44,0,0.33,0.67,0.496,0.511,3.75,1.25,1.94
KT Rolster,3,1,2,34.8,24,25,0.96,0.47,0.55,0.067,60.1,-26.8,376,0.67,0.33,0.67,6.7,0.33,,1,0.56,1,0.33,0.33,0.504,0.489,3.89,1.36,1.95
Nongshim RedForce,3,1,2,36.7,33,48,0.69,0.74,-0.26,-0.028,54.4,-21.1,622,0.67,0.33,0,6,0.5,,0.67,0.47,0,0.33,0.5,0.497,0.481,4.14,1.83,1.77
T1,3,2,1,36.7,48,33,1.45,0.74,0.26,0.028,45.6,21.1,-622,0.33,0.67,1,3.3,0.5,,0.33,0.53,1,0.67,0.5,0.503,0.519,4.06,1.41,2.22
DN Freecs,2,2,0,30.9,37,10,3.7,0.76,2.76,0.142,78.9,21.1,3314,1,1,1,4.5,0.5,,0.5,0.78,,0.5,0.5,0.512,0.536,3.75,1.5,1.72
Dplus KIA,2,0,2,38.2,23,34,0.68,0.75,-1.46,-0.067,43.1,-43.1,-990,0,0,0,5.5,0.5,,1,0.56,1,0,0.2,0.492,0.461,3.81,1.5,1.6
KT Rolster,2,0,2,30.9,10,37,0.27,0.76,-2.76,-0.142,21.1,-21.1,-3314,0,0,0,2,0.5,,0.5,0.22,,0.5,0.5,0.488,0.464,3.15,1.35,1.55
T1,2,2,0,38.2,34,23,1.48,0.75,1.46,0.067,56.9,43.1,990,1,1,1,7.5,0.5,,0,0.44,0,1,0.8,0.508,0.539,3.27,1.4,1.95
BRION,3,1,2,31.2,24,34,0.71,0.62,-0.66,-0.047,54.9,-21.6,-687,0.67,0,0.33,2.7,0.33,,0.67,0.47,,0.33,0.33,0.49,0.441,3.69,1.66,1.85
DRX,3,2,1,31.2,34,25,1.36,0.62,0.66,0.047,45.1,21.6,687,0.33,1,0.67,6,0.67,,0.33,0.53,,0.67,0.67,0.51,0.559,3.26,1.44,1.79
Hanwha Life Esports,2,0,2,37.4,18,32,0.56,0.67,-0.16,-0.022,66.5,-66.5,1976,0,1,1,6.5,1,,1,0.58,,0,0,0.495,0.535,3.32,1.34,2.06
Liiv SANDBOX,2,2,0,37.4,32,18,1.78,0.67,0.16,0.022,33.5,66.5,-1976,1,0,0,3,0,,0,0.42,,1,1,0.505,0.465,3.63,1.38,1.53
DN Freecs,2,0,2,35,9,25,0.36,0.49,-1.89,-0.085,31.6,-31.6,-2179,0,1,0.5,3.5,0.5,,1,0.4,,0,0,0.491,0.46,3.39,1.63,2.37
Dplus KIA,2,2,0,35,25,9,2.78,0.49,1.89,0.085,68.4,31.6,2179,1,0,0.5,3.5,0.5,,0,0.6,,1,1,0.509,0.54,4.39,1.42,1.97
Gen.G,2,2,0,24.9,28,8,3.5,0.72,2.95,0.137,90.5,9.5,3144,1,0.5,1,5.5,0.75,,1,1,,1,1,0.529,0.571,2.98,1.2,1.97
Nongshim RedForce,2,0,2,24.9,8,28,0.29,0.72,-2.95,-0.137,9.5,-9.5,-3144,0,0.5,0,3.5,0.25,,0,0,,0,0,0.471,0.429,3.33,1.42,1
BRION,2,2,0,32.9,37,9,4.11,0.7,2.32,0.186,61.4,38.6,1190,0.5,0.5,1,5,0.5,,1,0.78,1,1,1,0.488,0.586,3.97,1.61,1.82
Hanwha Life Esports,2,0,2,28.5,19,34,0.56,0.93,-0.73,-0.101,53.5,-53.5,-5,1,0,0,5,0.5,,0.5,0.43,,0,0,0.48,0.45,3.21,1.55,1.86
KT Rolster,2,0,2,32.9,9,37,0.24,0.7,-2.32,-0.186,38.6,-38.6,-1190,0.5,0.5,0,4.5,0.5,,0,0.22,0,0,0,0.512,0.414,3.2,1.38,1.78
T1,2,2,0,28.5,34,19,1.79,0.93,0.73,0.101,46.5,53.5,5,0,1,1,4.5,0.5,,0.5,0.57,,1,1,0.52,0.55,3.78,1.49,1.55
DRX,2,0,2,30.6,18,37,0.49,0.9,-0.72,-0.095,66.7,-66.7,1660,0.5,1,0.5,9,1,,0,0.13,,0.5,0.5,0.49,0.373,3.42,1.57,1.66
Gen.G,2,2,0,30.6,37,18,2.06,0.9,0.72,0.095,33.3,66.7,-1660,0.5,0,0.5,4.5,0,,1,0.88,,0.5,0.5,0.51,0.627,3.9,1.41,2.14
Liiv SANDBOX,3,1,2,36.4,27,43,0.63,0.64,-1.11,-0.067,35.9,-2.6,-1573,0.33,0,0,1.3,0.2,,0.67,0.47,,0.33,0.4,0.5,0.436,3.37,1.18,1.75
Nongshim RedForce,3,2,1,36.4,43,27,1.59,0.64,1.11,0.067,64.1,2.6,1573,0.67,1,1,4,0.8,,0.33,0.53,,0.67,0.6,0.5,0.564,3.82,1.64,1.76
DN Freecs,2,0,2,33.9,11,33,0.33,0.65,-2.4,-0.131,12.3,-12.3,-1983,0,0.5,1,5,0.5,,0.5,0.11,0,0,0,0.49,0.4,4.48,2,1.57
KT Rolster,2,2,0,33.9,33,11,3,0.65,2.4,0.131,87.7,12.3,1983,1,0.5,0,4,0.5,,0.5,0.89,1,1,1,0.51,0.6,3.69,1.64,2.5
Liiv SANDBOX,2,0,2,28.4,11,26,0.42,0.65,-2.87,-0.151,23.7,-23.7,-3596,0.5,0,0,1.5,0.25,,0.5,0.38,,0,0,0.504,0.412,2.7,0.9,1.46
Nongshim RedForce,2,2,0,28.4,26,11,2.36,0.65,2.87,0.151,76.3,23.7,3596,0.5,1,1,6,0.75,,0.5,0.63,,1,1,0.496,0.588,3.56,1.71,1.33
BRION,3,2,1,33.3,26,34,0.76,0.6,-0.29,0.007,37.7,28.9,-954,1,0.33,0,4,0.33,,0.33,0.71,,0.33,0.5,0.503,0.556,3.39,1.69,1.8
Dplus KIA,2,2,0,27.4,36,3,12,0.71,2.02,0.116,74.3,25.7,1529,0.5,0.5,0.5,7.5,0.5,,1,0.88,,1,1,0.492,0.527,3.49,1.33,1.2
Hanwha Life Esports,3,1,2,33.3,34,26,1.31,0.6,0.29,-0.007,62.3,-28.9,954,0,0.67,1,4,0.67,,0.67,0.29,,0.67,0.5,0.497,0.444,3.85,1.64,1.63
Liiv SANDBOX,2,0,2,27.4,3,36,0.08,0.71,-2.02,-0.116,25.7,-25.7,-1529,0.5,0.5,0.5,5,0.5,,0,0.13,,0,0,0.508,0.473,2.47,0.97,1.35
DN Freecs,2,2,0,35.1,41,16,2.56,0.81,1.67,0.093,73.4,26.6,1295,0.5,1,1,2.5,0.75,,1,0.78,,0.5,0.5,0.509,0.51,3.64,1.79,2.12
Gen.G,2,0,2,34,15,35,0.43,0.74,-1.64,-0.088,46.2,-46.2,-1843,0.5,0,0,2.5,0,,1,0.67,,0,0,0.513,0.459,3.6,1.46,1.63
Nongshim RedForce,2,0,2,35.1,16,41,0.39,0.81,-1.67,-0.093,26.6,-26.6,-1295,0.5,0,0,3,0.25,,0,0.22,,0.5,0.5,0.491,0.49,3.64,1.5,1.59
T1,2,2,0,34,35,15,2.33,0.74,1.64,0.088,53.8,46.2,1843,0.5,1,1,8,1,,0,0.33,,1,1,0.487,0.541,3.71,1.26,1.59
Dplus KIA,2,2,0,41.2,26,17,1.53,0.52,1.2,0.054,70.2,29.8,2047,0.5,0.5,1,4.5,0.75,,0.5,0.55,0,0.5,0.75,0.492,0.53,3.3,1.35,1.65
DRX,2,2,0,35,42,27,1.56,0.99,0.23,0.036,51.8,48.2,216,1,0.5,0.5,4.5,0.75,,0,0.64,,1,0.67,0.511,0.524,3.38,1.49,1.57
Hanwha Life Esports,2,0,2,41.2,17,26,0.65,0.52,-1.2,-0.054,29.8,-29.8,-2047,0.5,0.5,0,3,0.25,,0.5,0.45,1,0.5,0.25,0.508,0.47,3.5,1.42,1.66
KT Rolster,2,0,2,35,27,42,0.64,0.99,-0.23,-0.036,48.2,-48.2,-216,0,0.5,0.5,4,0.25,,1,0.36,,0,0.33,0.489,0.476,3.83,1.76,1.55
BRION,3,2,1,41.3,43,38,1.13,0.65,0.06,0.077,45.7,20.9,-876,0.67,0.33,0.33,4.7,0.67,,0.33,0.56,0,0.67,0.67,0.508,0.553,4.22,1.68,2.31
DN Freecs,3,1,2,35,32,36,0.89,0.65,-0.72,-0.034,36.2,-2.8,-1048,0.33,0.33,0.67,2.7,0.67,,0.33,0.41,,0.67,0.67,0.499,0.421,3.88,1.78,1.9
Gen.G,3,2,1,35,36,32,1.13,0.65,0.72,0.034,63.8,2.8,1048,0.67,0.67,0.33,5.3,0.33,,0.67,0.59,,0.33,0.33,0.501,0.579,3.59,1.45,1.84
Nongshim RedForce,3,1,2,41.3,38,43,0.88,0.65,-0.06,-0.077,54.3,-20.9,876,0.33,0.67,0.67,4.3,0.33,,0.67,0.44,1,0.33,0.33,0.492,0.447,3.86,1.73,1.85
DRX,2,2,0,30.4,43,10,4.3,0.87,3.27,0.182,79.9,20.1,1918,1,0.5,1,3,0.75,,1,0.75,,1,1,0.51,0.581,2.86,1.15,1.43
KT Rolster,2,0,2,34.6,32,33,0.97,0.94,-0.65,0.034,18.8,-18.8,-1988,1,0,0,3.5,0.5,,0,0.44,,0.5,0.5,0.493,0.485,4.2,1.81,2.16
Liiv SANDBOX,2,0,2,30.4,10,43,0.23,0.87,-3.27,-0.182,20.1,-20.1,-1918,0,0.5,0,1.5,0.25,,0,0.25,,0,0,0.49,0.419,3.16,1.27,1.4
T1,2,2,0,34.6,33,32,1.03,0.94,0.65,-0.034,81.2,18.8,1988,0,1,1,7.5,0.5,,1,0.56,,0.5,0.5,0.507,0.515,4.04,1.53,1.96
Dplus KIA,3,1,2,40.1,35,41,0.85,0.62,-0.38,-0.018,48.4,-15.1,-687,0.67,0.33,0.67,4.7,0.67,,0.67,0.39,0.33,0.33,0.33,0.497,0.473,3.56,1.64,1.99
DRX,2,2,0,32.4,28,15,1.87,0.66,1.49,0.028,66.2,33.8,1574,0.5,0.5,0.5,4,1,,1,0.78,,1,1,0.52,0.536,3.37,1.75,2.24
Gen.G,3,2,1,40.1,40,35,1.14,0.62,0.38,0.018,51.6,15.1,687,0.33,0.67,0.33,3.7,0.33,,0.33,0.61,0.67,0.67,0.67,0.503,0.527,3.71,1.48,1.71
Nongshim RedForce,2,0,2,32.4,15,28,0.54,0.66,-1.49,-0.028,33.8,-33.8,-1574,0.5,0.5,0.5,2.5,0,,0,0.22,,0,0,0.48,0.464,3.94,1.89,1.36
BRION,2,2,0,29.8,38,11,3.45,0.82,3,0.174,69.2,30.8,3093,1,1,1,4.5,0.5,,0,0.63,,0.5,1,0.516,0.565,4,1.7,2.15
Hanwha Life Esports,2,0,2,32.5,12,35,0.34,0.72,-2.1,-0.11,28.8,-28.8,-1170,0.5,0,0,2.5,0.5,,0.5,0.3,,0,0,0.511,0.419,3.07,1.27,1.68
KT Rolster,2,2,0,32.5,35,12,2.92,0.72,2.1,0.11,71.2,28.8,1170,0.5,1,1,5.5,0.5,,0.5,0.7,,1,1,0.489,0.581,3.55,1.66,1.77
Liiv SANDBOX,2,0,2,29.8,11,38,0.29,0.82,-3,-0.174,30.8,-30.8,-3093,0,0,0,2,0.5,,1,0.38,,0,0,0.484,0.435,3.52,1.5,1.62
